grad_str,grad_duration,delta,b,avg,duration,v8,v9,v10
0.1, 100, 100, 1195.33, 0.001637, 2821.456074476242, 0.001112, 0.000894, 0.001268
0.2, 10, 100, 30.55, 0.001539, 1103.1999452114105, 0.000995, 0.001145, 0.000939
0.2, 20, 100, 129.87, 0.001772, 1458.9017214775085, 0.001181, 0.001207, 0.001156
0.2, 50, 100, 955.55, 0.001648, 1803.314369916916, 0.00112, 0.00102, 0.001155
0.01, 100, 200, 19.11, 0.000218, 3364.6854724884033, -0.000618, -0.000184, 0.001238
0.01, 200, 200, 95.63, 0.002061, 4831.20868563652, 0.001303, 0.001326, 0.001493
0.01, 400, 200, 535.97, 0.002002, 7719.8568959236145, 0.001873, 0.00131, 0.000821
0.02, 50, 200, 16.71, 0.002076, 2601.5680198669434, 0.001356, 0.001577, 0.00122
0.02, 100, 200, 76.44, 0.001983, 3178.88840007782, 0.001276, 0.001586, 0.001105
0.02, 200, 200, 382.51, 0.001891, 5158.007109880447, 0.001335, 0.00121, 0.001237
0.02, 400, 200, 2143.86, 8e-06, 8645.36869931221, -0.000216, 0.000115, 0.000117
0.035, 50, 200, 51.18, 0.001442, 2825.3430137634277, 0.001344, 0.000631, 0.000909
0.035, 100, 200, 234.11, 0.001676, 3460.3814849853516, 0.0012, 0.001157, 0.000995
0.035, 200, 200, 1171.42, 0.001707, 4824.534821987152, 0.001071, 0.001331, 0.001012
0.05, 20, 200, 15.27, 0.003569, 2037.6213703155518, 0.002919, 0.00226, 0.001958
0.05, 50, 200, 104.46, 0.00188, 2338.918964624405, 0.001196, 0.000905, 0.001158
0.05, 100, 200, 477.77, 0.001803, 3260.324525117874, 0.001269, 0.001131, 0.001206
0.05, 200, 200, 2390.66, 0.000384, 5423.368210077286, 0.000347, 0.000205, 0.000216
0.1, 10, 200, 14.79, 0.000422, 2286.6507918834686, -0.000203, 0.000126, 0.000921
0.1, 20, 200, 61.1, 0.001732, 2340.929880142212, 0.000986, 0.001368, 0.001109
0.1, 50, 200, 417.83, 0.001803, 2898.209144115448, 0.001149, 0.001198, 0.00126
0.1, 100, 200, 1911.1, 0.001814, 3110.068788290024, 0.001235, 0.001404, 0.000988
